episode,score,epsilon
0,0,0.8955
1,0,0.8910224999999999
2,0,0.8865673875
3,0,0.8821345505625
4,0,0.8777238778096875
5,-10,0.8733352584206391
6,-10,0.8689685821285359
7,0,0.8646237392178933
8,0,0.8603006205218038
9,0,0.8559991174191948
10,0,0.8517191218320987
11,-10,0.8474605262229382
12,-10,0.8432232235918236
13,0,0.8390071074738644
14,0,0.8348120719364951
15,0,0.8306380115768126
16,-10,0.8264848215189285
17,0,0.8223523974113339
18,0,0.8182406354242773
19,0,0.8141494322471559
20,0,0.8100786850859201
21,0,0.8060282916604905
22,0,0.801998150202188
23,0,0.7979881594511771
24,0,0.7939982186539212
25,-10,0.7900282275606516
26,0,0.7860780864228484
27,0,0.7821476959907341
28,0,0.7782369575107804
29,0,0.7743457727232265
30,10,0.7704740438596104
31,0,0.7666216736403123
32,0,0.7627885652721107
33,0,0.7589746224457501
34,0,0.7551797493335214
35,20,0.7514038505868538
36,0,0.7476468313339195
37,-10,0.7439085971772499
38,0,0.7401890541913636
39,10,0.7364881089204068
40,10,0.7328056683758049
41,0,0.7291416400339258
42,0,0.7254959318337562
43,10,0.7218684521745874
44,0,0.7182591099137144
45,0,0.7146678143641458
46,20,0.7110944752923251
47,20,0.7075390029158635
48,10,0.7040013079012841
49,0,0.7004813013617777
50,-10,0.6969788948549688
51,0,0.693494000380694
52,10,0.6900265303787905
53,0,0.6865763977268965
54,0,0.683143515738262
55,-10,0.6797277981595707
56,20,0.6763291591687729
57,0,0.672947513372929
58,20,0.6695827758060644
59,20,0.6662348619270341
60,0,0.6629036876173989
61,10,0.659589169179312
62,20,0.6562912233334154
63,10,0.6530097672167483
64,0,0.6497447183806646
65,20,0.6464959947887613
66,0,0.6432635148148175
67,0,0.6400471972407433
68,-10,0.6368469612545397
69,10,0.6336627264482669
70,10,0.6304944128160256
71,10,0.6273419407519455
72,20,0.6242052310481858
73,0,0.6210842048929449
74,10,0.6179787838684802
75,20,0.6148888899491377
76,-10,0.611814445499392
77,20,0.608755373271895
78,0,0.6057115964055355
79,-10,0.6026830384235078
80,10,0.5996696232313903
81,0,0.5966712751152333
82,0,0.5936879187396572
83,-10,0.5907194791459589
84,0,0.5877658817502291
85,20,0.584827052341478
86,20,0.5819029170797706
87,0,0.5789934024943717
88,30,0.5760984354818999
89,-10,0.5732179433044904
90,-10,0.5703518535879679
91,0,0.5675000943200281
92,10,0.564662593848428
93,20,0.5618392808791859
94,-10,0.55903008447479
95,10,0.556234934052416
96,40,0.5534537593821539
97,20,0.5506864905852431
98,20,0.5479330581323169
99,-10,0.5451933928416552
100,0,0.542467425877447
101,20,0.5397550887480598
102,20,0.5370563133043195
103,0,0.5343710317377979
104,10,0.5316991765791089
105,10,0.5290406806962134
106,20,0.5263954772927323
107,20,0.5237634999062686
108,20,0.5211446824067373
109,0,0.5185389589947036
110,-10,0.5159462641997301
111,-10,0.5133665328787315
112,20,0.5107997002143378
113,30,0.5082457017132661
114,30,0.5057044732046998
115,0,0.5031759508386763
116,30,0.5006600710844828
117,20,0.49815677072906045
118,0,0.49566598687541513
119,10,0.49318765694103806
120,20,0.49072171865633285
121,20,0.4882681100630512
122,0,0.48582676951273596
123,20,0.4833976356651723
124,0,0.48098064748684644
125,30,0.4785757442494122
126,20,0.47618286552816513
127,20,0.4738019512005243
128,0,0.4714329414445217
129,20,0.46907577673729905
130,30,0.46673039785361253
131,10,0.4643967458643445
132,10,0.46207476213502274
133,-10,0.45976438832434763
134,20,0.4574655663827259
135,20,0.45517823855081224
136,0,0.4529023473580582
137,10,0.45063783562126786
138,0,0.4483846464431615
139,-10,0.44614272321094567
140,20,0.4439120095948909
141,20,0.44169244954691644
142,-10,0.43948398729918187
143,20,0.43728656736268595
144,20,0.43510013452587254
145,30,0.4329246338532432
146,10,0.43076001068397696
147,20,0.4286062106305571
148,20,0.4264631795774043
149,20,0.4243308636795173
150,-10,0.42220920936111966
151,30,0.42009816331431404
152,20,0.41799767249774245
153,20,0.41590768413525375
154,20,0.4138281457145775
155,10,0.4117590049860046
156,-10,0.4097002099610746
157,20,0.40765170891126923
158,20,0.40561345036671287
159,40,0.4035853831148793
160,-10,0.4015674561993049
161,20,0.3995596189183084
162,30,0.3975618208237168
163,50,0.3955740117195982
164,30,0.3935961416610002
165,20,0.3916281609526952
166,20,0.38967002014793173
167,30,0.38772167004719205
168,30,0.3857830616969561
169,30,0.3838541463884713
170,30,0.38193487565652895
171,20,0.3800252012782463
172,-10,0.37812507527185507
173,-10,0.3762344498954958
174,0,0.37435327764601833
175,40,0.3724815112577882
176,-10,0.37061910370149925
177,20,0.36876600818299177
178,40,0.3669221781420768
179,20,0.3650875672513664
180,20,0.36326212941510955
181,20,0.361445818768034
182,20,0.3596385896741938
183,10,0.35784039672582285
184,70,0.3560511947421937
185,10,0.35427093876848276
186,20,0.3524995840746403
187,0,0.35073708615426713
188,30,0.3489834007234958
189,-10,0.3472384837198783
190,-10,0.3455022913012789
191,20,0.3437747798447725
192,30,0.34205590594554863
193,20,0.3403456264158209
194,40,0.3386438982837418
195,10,0.3369506787923231
196,0,0.3352659253983615
197,30,0.33358959577136965
198,30,0.3319216477925128
199,0,0.33026203955355027
